KOORDINATE;RADIJ;TIP;IME;INFORMACIJE
125300N1002000E,125300N1002500E,123500N1001700E,123500N1001130E,125300N1002000E;;R;VT R8 Kamphaeng Sean Jettison;"Type of restriction : RTAF Jettison Area
Nature of hazard, activity : Jettison Area
Time of activity : H24
Permission to entry : Only authorized aircraft
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0 MHZ
Contact agency : Kamphaeng Sean Flying Training School Air Traffic Control
branch Tel: 025346000 ext 37517,37522"
122753N1005819E;2;R;VT R11 Ko Hin Chalam, Sattahip;"Type of restriction : RTN Jettison Area / Ground and Air Gunnery Area
Nature of hazard, activity : Military operations
Time of activity : H24
Permission to entry : Only authorized aircraft by U-Tapao
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Contact agency : Royal Thai Naval Air Division TEL (038) 245193, 245196
VT R12 Ko Luam, Prachuap Khiri Khan
Circle of 0.5 NM radius centered on point
114530N0995000E
ALT 9000 ft /
GND
Type of restriction : RTN Jettison Area
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Permission to entry : Only authorized aircraft by RTN
Inflight information : Prachuap TWR freq. 135.9 MHZ or 236.6 MHZ
Contact agency : Wing 5, Prachuap Air Force Base Prachuap Khirikhan
Province TEL (032) 603919
VT R13 Ko Samet, Rayong
Circle of 7.1 NM radius centered on point
121200N1012100E
UNL / GND
Type of restriction : RTN Jettison Area / Ground Gunnery Area
Nature of"
114530N0995000E;0.5;R;VT R12 Ko Luam, Prachuap Khiri Khan;"Type of restriction : RTN Jettison Area
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Permission to entry : Only authorized aircraft by RTN
Inflight information : Prachuap TWR freq. 135.9 MHZ or 236.6 MHZ
Contact agency : Wing 5, Prachuap Air Force Base Prachuap Khirikhan
Province TEL (032) 603919"
121200N1012100E;7.1;R;VT R13 Ko Samet, Rayong;"Type of restriction : RTN Jettison Area / Ground Gunnery Area
Nature of hazard, activity : Military operations
Time of activity : H24
Permission to entry : Only authorized aircraft by U-Tapao
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Contact agency : Royal Thai Naval Air Division TEL (038) 245193, 245196"
151013N1045610E,151046N1045642E,151046N1045749E,150942N1045649E,150942N1045642E,151013N1045610E;;R;VT R15 Ubon;"Type of restriction : RTAF Flying Training
Nature of hazard, High speed combat maneuvering
Time of activity : H24
Permission to entry : Only authorized aircraft by RTAF
Inflight information : OSCAR Control freq 127.0 MHZ or 331.3 MHZ
Contact agency : WING 21 Air Traffic control branch
025346000 ext 43512, 43508"
0717N9954E,0717N9959E, 0715N9959E, 0713N9954E,0717N9954E;;R;VT R51 Songkhla;"Type of restriction : RTAF Jettison Area
Nature of hazard, activity : Jettison Area
Time of activity : Sunrise to Sunset
Permission to entry : Only authorized aircraft by RTAF
Inflight information : contact BIG SHELL control
freq. 127.0 MHZ or 331.3 MHZ
Contact agency : Air Defense Sector Operation Control 3 Tel. 077268083"
0629N10032E,0636N10032E,0636N10038E,0629N10038E,0629N10032E;;R;VT R52 Songkhla;"Type of restriction : RTAF Jettison Area
Nature of hazard, activity : Jettison Area
Time of activity : Sunrise to Sunset
Permission to entry : Only authorized aircraft by RTAF
Inflight information : BIG SHELL control freq. 127.0 MHZ or 331.3 MHZ
Contact agency : Air Defense Sector Operation Control 3 Tel. 077268083"
113800N1025530E,113000N1023000E,120945N1023432E,125613N1021250E,135000N1021250E,142800N1031000E,144500N1040000E,144500N1044100E,142400N1045100E;;R;VT R62 Eastern Area;"Type of restriction : RTN Area
Nature of hazard, activity : Military operations
Time of activity : Sunset to Sunrise
Permission to entry : Only authorized aircraft by RTN
Inflight information : Trat Approach freq. 120.25 MHZ
Contact agency : Chanthaburi and Trat Border Defense Command
Tel. (039) 312334, 311099"
170738.10N1040119.76E;5;R;VT R66 Phu Phan Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : Notified by NOTAM
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Sakon Nakhon Approach, AEROTHAI.
Contact agency : CAAT, Air Navigation Service Standards Department."
164048.58N1025559.19E,163810.90N1025605.94E,164049.25N1025706.67E,163814.77N1025708.31E;;R;VT R68 Nam Phong;"Type of restriction : RTAF Jettison Area
Nature of hazard, activity : RTAF Jettison Area
Time of activity : Mon-Fri, 0000-1000
Permission to entry : Only authorized aircraft by RTAF
Inflight information : contact Khonkean Approach
freq. 123.4 MHZ or 236.6 MHZ
Contact agency : WING 23 Air Trafic control branch Tel: 025346000
ext 45502, 45503 or Nam Phong Tower Tel: 025346000 ext 42305"
123908N1005848E;0.5;R;VT R79 Phimanmas Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : Notified by NOTAM
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : U-Tapao Approach, Royal Thai Navy.
Contact agency : CAAT, Air Navigation Service Standards Department"
134452.69N1003155.92E;1;R;VT R80 Name : Srapathum Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : H24
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Don Mueang APP freq 119.4 MHZ or Bangkok APP
Freq. 125.8 MHZ or 262.5 MHZ
Contact agency : CAAT, Air Navigation Service Standards Department."
135648.31N1003126.90E;1;R;VT R81 Name : Jakribongkot Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : H24
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Don Mueang APP freq 119.4 MHZ or Bangkok APP
Freq. 125.8 MHZ or 262.5 MHZ
Contact agency : CAAT, Air Navigation Service Standards Department."
134621.50N1003040.28E;1;R;VT R82 Name : Amphorn Royal Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : H24
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Don Mueang APP freq 119.4 MHZ or Bangkok APP
Freq. 125.8 MHZ or 262.5 MHZ
Contact agency : CAAT, Air Navigation Service Standards Department."
134656.66N1003033.51E;1;R;VT R83 Name : Sukhothai Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : H24
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : Don Mueang APP freq 119.4 MHZ or Bangkok APP
Freq. 125.8 MHZ or 262.5 MHZ
Contact agency : CAAT, Air Navigation Service Standards Department."
142929.82N1013145.88E;1;R;VT R84 Tippimarn Palace;"Type of restriction : Royal Residence Area
Nature of hazard, activity : -
Time of activity : H24
Permission to entry : As specified condition:
1. Authorized aircraft; or
2. HOSP or MEDEVAC aircraft, prior coordination with ATC is required
Any occurrence of entry into restricted area shall be reported to CAAT.
Inflight information : OSCAR Control
Contact agency : CAAT, Air Navigation Service Standards Department."
133200N1001600E,132555.77N1000709.33E,135409.97N0995818.91E,135600.00N1001100.00E,134800.00N1001100.00E,133200.00N1001600.00E;;D;VT D16 Ratchaburi;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1300
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0
MHZ
Pilots are advised to contact prior to entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37522"
132555.77N1000709.33E,130000.00N1000400.00E,130000.00N0994000.00E,134900.00N0992300.00E,135409.97N0995818.91E,132555.77N1000709.33E;;D;VT D16 Ratchaburi;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1300
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0
MHZ
Pilots are advised to contact prior to entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37523"
135600.00N1001100.00E,135253.16N0994930.37E,140930.15N0995225.65E,140600.00N1001100.00E,135600.00N1001100.00E;;D;VT D17 Kanchanaburi;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1300
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0
MHZ
Pilots are advised to contact prior to entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37520"
135253.16N0994930.37E,134900.00N992300.00E,141500.00N0992300.00E,140930.15N0995225.65E,135253.16N 0994930.37E;;D;VT D17 Kanchanaburi;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1300
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0
MHZ
Pilots are advised to contact prior to entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37521"
135336.80N1003546.30E;45;D;VT D17 Kanchanaburi;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1300
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0
MHZ
Pilots are advised to contact prior to entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37522"
140600.00N1001100.00E,140930.15N0995225.65E,143304.18N1001310.02E,141900.00N1002400.00E,140600.00N1001100.00E;;D;VT D18 Suphan Buri;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1300
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0
MHZ
Pilots are advised to contact prior to entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37522
*Training aircraft at FL200 and above will be authorized by Bangkok ACC."
140930.15N0995225.65E,141500.00N0992300.00E,145400.00N0995700.00E,143304.18N1001310.02E,140930.15N0995225.65E;;D;VT D18 Suphan Buri;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1300
Inflight information : Kamphaeng Sean Approach freq. 127.7 MHZ or 237.0
MHZ
Pilots are advised to contact prior to entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37522
*Training aircraft at FL200 and above will be authorized by Bangkok ACC."
1324N10015E,1322N10022E,1302N10012E,1303N10009E,1324N10015E;;D;VT D19 Mae Klong;"Type of restriction : RTAF Jettison Area HJ
Nature of hazard, activity : High altitude Training Area
Time of activity : Mon - Fri, Fri, 0030-0900
Inflight information : Kamphaeng Sean Approach
freq. 127.7 MHZ or 237.0 MHZ before entering.
Contact agency : Kamphaeng Sean Flying Training School
Air Traffic Control branch Tel.: 025346000 ext 37517,37522"
1300N09937E,1300N10010E,1210N10010E,1300N09937E;;D;VT D20 Hua Hin;"Type of restriction : Civil flight training area
Nature of hazard, activity : Flight school training
Time of activity : Sunrise to sunset
Inflight information : Hua Hin Approach freq. 126.2 MHZ
Contact agency : -"
123804.04N0995704.23E;30;D;VT D20 Hua Hin;"Type of restriction : Civil flight training area
Nature of hazard, activity : Flight school training
Time of activity : Sunrise to sunset
Inflight information : Hua Hin Approach freq. 126.2 MHZ
Contact agency : -"
1220N10030E,1240N10030E,1240N10040.8E,1220N10040.8E,1220N10030E;;D;VT D21 Sattaship Bay;"Type of restriction : RTN Gun Training Range for surface ships
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245196"
1220N10040.8E,1240N10040.8E,1240N10058E,1220N10058E,1220N10040.8E;;D;VT D21 Sattaship Bay;"Type of restriction : RTN Gun Training Range for surface ships
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245197"
1220N10058E,1237N10058E,1237N10115E,1220N10115E,1220N10058E;;D;VT D21 Sattaship Bay;"Type of restriction : RTN Gun Training Range for surface ships
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245198"
1251.3N10040E,1251.3N10051E,1240N10051E,1240N10040E,1251.3N10040E;;D;VT D22 Ko Khram, Sattahip;"Type of restriction : RTN Gun Training Range for surface ships and aircraft
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245196"
1250N10030E,1305N10030E,1305N10045E,1250N10045E,1250N10030E;;D;VT D23 Ko Phai;"Type of restriction : RTN Gun Training Range for surface ships and aircraft
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245196"
1203.1N10214.6E;5;D;VT D24 Ko Chang, Trat;"Type of restriction : RTN Gun Training Range for surface ships and aircraft
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ or 273.3 MHZ if
unable Trat Approach freq. 120.25 MHZ Pilots are advised to contact prior
to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245196"
0956.6N09959.8E;5;D;VT D25 Ko Tao, Chumphon;"Type of restriction : RTN Weapon Training Range for surface ships and
aircraft
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : Samui Approach freq. 129.6 MHZ / 305.4 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Wing 7, Surat Thani Air Force Base Tel. (077) 441132"
1233.5N10055.3E,1237.3N10055.3E,1237.3N10057.3E,1233.5N10057.3E,1233.5N10055.3E;;D;VT D26 Chong Samea San, Sattahip;"Type of restriction : RTN Gun Training Range
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ / 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245196"
1255.2N10217.1E,1250.6N10220.4E,1255.8N10222.8E,1259.5N10221.4E,1255.2N10217.1E;;D;VT D27 Pong Nam Ron, Chantaburi;"Type of restriction : RTN Gun Training Range
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ / 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245196"
1250.5N10049.7E,1251.3N10051.7E,1246.8N10053.5E,1245.8N10051.6E,1250.5N10049.7E;;D;VT D28 Sattahip;"Type of restriction : RTN Gun Training Range
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : U-Tapao Approach freq. 119.7 MHZ / 273.3 MHZ
Pilots are advised to contact prior to entering.
Contact agency : Royal Thai Naval Air Division Tel. (038) 245193, 245196"
0644N10144E;3;D;VT D29 Hin Rakit, Pattani;"Type of restriction : RTN Weapon Training Range for surface ships and
aircraft
Nature of hazard, activity : Military operations
Time of activity : Notified by NOTAM
Inflight information : Narathiwat Approach freq. 125.55 MHZ
Pilots are advised to contact prior to entering.
Contact agency : 2nd Naval Area Command Tel. (074) 325804"
144905.7N1011547.8E,162005.4N1021047.3E,160405.5N1022847.2E,145935.7N1015947.5E,144305.8N1012247.8E;;D;VT D30W Nakhon Ratchasima (Area 1);"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1000
Inflight information : OSCAR Control freq. 127.0 MHZ or 331.3 MHZ If
unable Khorat Approach freq. 129.75 MHZ or 349.0 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 1 Air Traffic control branch
Tel.: 025346000 ext 40555 ,40556"
150905.7N1021947.3E,160005.5N1024247.1E,154905.6N1032146.8E,151305.7N1032146.8E;;D;VT D30W Nakhon Ratchasima (Area 2);"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1000
Inflight information : OSCAR Control freq. 127.0 MHZ or 331.3 MHZ If
unable Khorat Approach freq. 129.75 MHZ or 349.0 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 1 Air Traffic control branch
Tel.: 025346000 ext 40555 ,40556"
1503N10010E,1505N10100E,1430N10055E,1437N10009E,1503N10010E;;D;VT D31 Lop Buri;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2200-1700
Inflight information : Khok Kathiam Tower freq. 122.6 MHZ or 238.6 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 2 Air Traffic control branch
Tel.: 025346000 ext 50520"
45606.0N1020421.8E;50;D;VT D32 Nakhon Ratchasima;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1400
Inflight information : OSCAR Control freq. 127.0 MHZ or 331.3 MHZ, If
unable Khorat Approach freq. 129.75 MHZ or 349.0 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 1 Air Traffic control branch
Tel.: 025346000 ext 40555 ,40556"
154125.79N0994345.28E,154124.14N0995122.80E,150656.33N1000238.89E,150006.18N0995717.24E;;D;VT D33 Nakhon Sawan, Chai Nat;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2200-1700
Inflight information : OSCAR Control freq. 127.0 MHZ or 331.3 MHZ, If
unable contact Takhli Approach freq. 124.0 MHZ or 325.0 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 4 Air Traffic control branch
Tel.: 025346000 ext 53544, 53546"
163705.34N0992523.13E,154125.79N0994345.28E,150006.18N0995717.24E,150012.17N0992327.39E,153847.73N0983417.53E,163508.84N0983522.41E,163705.10N0985248.80E;;D;VT D33 Nakhon Sawan, Chai Nat;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2200-1700
Inflight information : OSCAR Control freq. 127.0 MHZ or 331.3 MHZ, If
unable contact Takhli Approach freq. 124.0 MHZ or 325.0 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 4 Air Traffic control branch
Tel.: 025346000 ext 53544, 53547"
151305.60N1010147.90E,151305.60N1002648.10E,152405.50N1002148.20E,161623.05N1002148.10E,163458.20N1004628.25E,163205.30N1012647.60E,151305.60N1010147.90E;;D;VT D34 Phetchabun, Phichit;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2200-1700
Inflight information : Focal Control freq. 127.0 or 331.3 MHZ
If unable contact Takhli Approach freq. 124.0 MHZ / 325.0 MHZ or
Phetchabun Approach freq. 126.7 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 4 Air Traffic control branch
Tel.: 025346000 ext 53544, 53546"
164613.34N 1001728.70E;30;D;VT D34 Phetchabun, Phichit;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2200-1700
Inflight information : Focal Control freq. 127.0 or 331.3 MHZ
If unable contact Takhli Approach freq. 124.0 MHZ / 325.0 MHZ or
Phetchabun Approach freq. 126.7 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 4 Air Traffic control branch
Tel.: 025346000 ext 53544, 53546"
151305.60N1010147.90E,151305.69N1002803.35E,153222.66N1002148.11E,161623.05N1002148.10E,163458.20N1004628.25E,163205.30N1012647.60E,151305.60N1010147.90E;;D;VT D34 Phetchabun, Phichit;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2200-1700
Inflight information : Focal Control freq. 127.0 or 331.3 MHZ
If unable contact Takhli Approach freq. 124.0 MHZ / 325.0 MHZ or
Phetchabun Approach freq. 126.7 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 4 Air Traffic control branch
Tel.: 025346000 ext 53544, 53547"
164613.34N 1001728.70E;30;D;VT D34 Phetchabun, Phichit;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2200-1700
Inflight information : Focal Control freq. 127.0 or 331.3 MHZ
If unable contact Takhli Approach freq. 124.0 MHZ / 325.0 MHZ or
Phetchabun Approach freq. 126.7 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 4 Air Traffic control branch
Tel.: 025346000 ext 53544, 53547"
120300N 0993300E,120800N1000300E,114700N0995000E,112900N0993800E,110000N0993200E,110000N0990700E,120800N0993300E;;D;VT D35 Prachuap Khiri Khan;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 2300-1100
Inflight information : Prachuap Tower freq. 135.9 MHZ or 351.1 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 5 Air Traffic control branch
Tel.: 025346000 ext 40555 ,40556"
135900N1013800E,135900N1022000E,133000N102200E,13300N1011900E,135900N1013800E;;D;VT D40 Kabin Buri / Wattana Nakhon,;"Type of restriction: RTAF Flying Training
(Nature of hazard, Activity): High speed combat maneuvering
Time of Activity: Mon - Fri, 2300-1500
Inflight information: Wattana nakhon Tower freq. 118.1 MHZ or 236.6
MHZ
Pilots are advised to contact prior to entering
Contact agency: Wattana nakhon Tower"
202700N995400E,184700N 995400E,184700N 990900E,185600N985400E,191800N984200E,194600N984200E;;D;VT D41 Mae Rim, Chiang Mai;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 0100-1400
Inflight information : FOCAL Control freq. 127.0 MHZ or 331.3 MHZ
If unable contact Chiang Mai Approach freq. 129.6 MHZ or 305.4 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 41 Air Traffic control branch
Tel.: 025346000 ext 57504, 57503"
184612N985812E;10;D;VT D41 Mae Rim, Chiang Mai;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 0100-1400
Inflight information : FOCAL Control freq. 127.0 MHZ or 331.3 MHZ
If unable contact Chiang Mai Approach freq. 129.6 MHZ or 305.4 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 41 Air Traffic control branch
Tel.: 025346000 ext 57504, 57504"
184700N974500E,184700N984800E,182000N985800E,173000N985800E,173000N980000E;;D;VT D42 Chom Thong, Chiang Mai;"Type of restriction : RTAF Flying Training
Nature of hazard, activity : High speed combat maneuvering
Time of activity : Mon - Fri, 0100-1400
Inflight information : FOCAL Control freq. 127.0 MHZ or 331.3 MHZ
If unable contact Chiang Mai Approach freq. 129.6 MHZ or 305.4 MHZ
Pilots are advised to contact prior to entering.
Contact agency : WING 41 Air Traffic control branch
Tel.: 025346000 ext 57504, 57503"
